art,klasse,ordnung,familie
2090505,2,207,20707
2120305,2,219,21904
2130319,2,244,24413
2130333,2,244,24413
2130512,2,244,24415
2130830,2,244,24407
5010103,6,601,60101
5010110,6,601,60101
5010112,6,601,60101
5010116,6,601,60101
5020201,6,602,60204
5040105,6,604,60401
5040106,6,604,60401
5040112,6,604,60401
5040202,6,604,60402
5050304,6,605,60503
5060103,6,606,60601
5060206,6,606,60602
5070102,6,607,60701
5090101,6,610,61001
5090102,6,609,60901
5090201,6,610,61002
21102688,2,250,250158
21102705,6,610,61002
21102739,6,610,61002
21103094,6,605,60501
21103143,6,603,60301
21103173,6,607,60702
21103227,6,607,60705
21103476,6,601,60101
21103602,6,601,60101
50901010,6,609,60905
50901034,2,244,24414
50901376,6,601,60101
50901393,6,608,60801
50903201,6,605,60505
50903276,6,607,60705
50904611,6,605,60506
50904953,6,608,60801
50905215,6,603,60303
50905235,6,602,60207
50905237,6,602,60207
50905919,6,605,60504
50905940,6,608,60801
50906055,6,603,60301
50906795,6,608,60801
55007134,6,601,60101
55008934,6,601,60101
55014402,6,601,60101
55014421,6,608,60801
