zoo_id,zoo_name,country
10000001,Kiel (Aquarium GEOMAR),Deutschland
10000002,Gettorf (Tierpark),Deutschland
10000004,Grömitz (Zoo Arche Noah),Deutschland
10000005,Burg (Meereszentrum Fehmarn),Deutschland
10000006,Timmendorfer Strand (Sea Life),Deutschland
10000007,Timmendorfer Strand (Vogelpark Niendorf),Deutschland
10000008,Lübeck (Tierpark - geschlossen 2010),Deutschland
10000009,Mölln (Wildpark Uhlenkolk),Deutschland
10000010,Eckernförde (Aquarium),Deutschland
10000011,Nessendorf (Eselpark),Deutschland
10000012,Laboe (Meeresbiologische Station),Deutschland
10000013,Großenaspe (Wildpark Eekholt),Deutschland
10000014,Neumünster (Tierpark),Deutschland
10000015,Warder (Arche),Deutschland
10000016,Daldorf (Erlebniswald Trappenkamp),Deutschland
10000017,Schalkholz (Falkenhof - geschlossen),Deutschland
10000018,Westerland (Sylt Aquarium),Deutschland
10000019,Tönning (Multimar Wattforum),Deutschland
10000020,Tinnum/Sylt (Tierpark),Deutschland
10000021,St. Peter-Ording (Westküstenpark),Deutschland
10000022,Büsum (Aquarium am Hafen - vormals Büsumer Meereswelten),Deutschland
10000023,Büsum (Nordsee-Aquarium - geschlossen 2005),Deutschland
10000024,Friedrichskoog (Seehundstation),Deutschland
10000025,Helgoland (Nordseeaquarium - geschlossen 2015),Deutschland
10000026,Balje (Natureum Niederelbe),Deutschland
10000027,Hamburg (Wildpark Klövensteen / Rissen),Deutschland
10000028,Wingst (Waldzoo),Deutschland
10000029,Rosengarten-Vahrendorf (Wildpark Schwarze Berge),Deutschland
10000030,Hamburg (Tierpark Hagenbeck),Deutschland
10000031,Krüzen (Tierpark),Deutschland
10000032,Wismar (Tierpark),Deutschland
10000033,Tüzen (Haustier-Schutzpark - geschlossen 2009),Deutschland
10000034,Rostock (Zoo),Deutschland
10000035,Marlow (Vogelpark),Deutschland
10000036,Stralsund (Museum für Meereskunde und Fischerei · Aquarium),Deutschland
10000037,Stralsund (Zoo),Deutschland
10000038,Sassnitz (Tierpark),Deutschland
10000039,Grimmen (Heimattierpark),Deutschland
10000040,Güstrow (Wildpark-MV),Deutschland
10000041,Greifswald (Tierpark),Deutschland
10000042,Wolgast (Tierpark Tannenkamp),Deutschland
10000043,Seebad Bansin (Tropenhaus (neu)),Deutschland
10000044,Anklam (Tiergehege),Deutschland
10000046,Dassow (Erlebnis- und Tigerpark),Deutschland
10000047,Ueckermünde (Tierpark),Deutschland
10000048,Gristow (Naturerlebnispark),Deutschland
10000049,Schwerin (Zoo),Deutschland
10000050,Perleberg (Tierpark),Deutschland
10000051,Dümmer (Vogelgarten - geschlossen 2007),Deutschland
10000052,Ivenack (Tiergarten Ivenacker Eichen),Deutschland
10000053,Waren/Müritz (Müritzeum),Deutschland
10000054,Malchow (Affenwald),Deutschland
10000055,Lelkendorf (Haustierpark - geschlossen 2024),Deutschland
10000056,Neuruppin-Kunsterspring (Tierpark),Deutschland
10000057,Neustrelitz (Tiergarten),Deutschland
10000058,Burg Stargard (Tierpark Klüschenberg - geschlossen 2015),Deutschland
10000059,Mühlenhagen (Naturerlebnispark Tollensetal),Deutschland
10000060,Prenzlau (Naturerlebnis Uckermark - vormals Ökostation),Deutschland
10000061,Eberswalde (Zoo),Deutschland
10000062,Angermünde (Tierpark),Deutschland
10000063,Altreetz-Oderbruch (Oderbruchzoo - geschlossen 2023),Deutschland
10000064,Frankfurt/Oder - Rosengarten (Wildpark),Deutschland
10000065,Eisenhüttenstadt (Tierpark),Deutschland
10000066,Schwedt (Vogelpark),Deutschland
10000067,Berlin (Zoologischer Garten),Deutschland
10000068,Berlin (Tierpark Friedrichsfelde),Deutschland
10000069,Berlin (AquaDom & Sea Life - geschlossen 2025),Deutschland
10000070,Berlin (Haus Natur und Umwelt),Deutschland
10000071,Berlin (Privates Museum für Tierkunde),Deutschland
10000072,Berlin (Wildgehege Spandauer Forst),Deutschland
10000073,Berlin (Tiergehege im Volkspark Rehberge),Deutschland
10000074,Berlin (Voliere Kranzler Eck - geschlossen 2025),Deutschland
10000076,Fürstenwalde/Spree (Heimattiergarten),Deutschland
10000077,Bad Saarow (Fasanen- und Wildpark - geschlossen 2010),Deutschland
10000078,Müncheberg (Tiergarten - geschlossen 2015),Deutschland
10000079,Potsdam (Naturkundemuseum),Deutschland
10000080,Baruth-Klasdorf (Wildpark Johannismühle),Deutschland
10000081,Berlin (Fledermauskeller in der Zitadelle - Verein BAT),Deutschland
10000082,Luckenwalde (Tierpark),Deutschland
10000083,Groß Schönebeck (Wildpark Schorfheide),Deutschland
10000084,Wustermark-Elstal (Schaugehege Döberitzer Heide - geschlossen 2016),Deutschland
10000085,Oranienburg-Germendorf (Tier- und Freizeitpark Eichholz),Deutschland
10000087,Mallnow (Haus-und Wildtiergarten),Deutschland
10000088,Liebenwalde (Haustierpark - ehem. Wildpferdgehege Liebenthal),Deutschland
10000089,Trebbin-Glau (Wildgehege),Deutschland
10000090,Teltow (Vogelpark und Streichelzoo),Deutschland
10000091,Stendal (Tiergarten),Deutschland
10000092,Zabakuck (Tierpark),Deutschland
10000093,Weißewarte (Wildpark - geschlossen 2022),Deutschland
10000094,Brome-Zicherie (Wildgehege),Deutschland
10000095,Leiferde (NABU-Artenschutzzentrum),Deutschland
10000096,Hankensbüttel (Otterzentrum),Deutschland
10000097,Walsrode (Weltvogelpark),Deutschland
10000098,Hodenhagen (Serengeti-Park),Deutschland
10000099,Hanstedt-Nindorf (Wildpark Lüneburger Heide),Deutschland
10000101,Bispingen (Greifvogel-Gehege),Deutschland
10000102,Amelinghausen (Eulengarten - geschlossen 2022),Deutschland
10000103,Uelzen (Wildgehege im Stadtforst),Deutschland
10000104,Lauenbrück (LandPark),Deutschland
10000105,Bremerhaven (Zoo am Meer),Deutschland
10000106,Cuxhaven (Zoo im Kurpark),Deutschland
10000107,Bremerhaven (Atlanticum im Forum Fischbahnhof - geschlossen 2013),Deutschland
10000108,Bremen (Zoo- und Gartencenter Vida - geschlossen 2016),Deutschland
10000109,Bremen (Gehege im Bürgerpark),Deutschland
10000110,Osterholz-Scharmbeck (Tiergarten Ludwigslust),Deutschland
10000111,Jaderberg (Jaderpark),Deutschland
10000112,Marienhafe-Rechtsupweg (Birgits Tiergarten - vormals Tiergarten Endelmann),Deutschland
10000113,Wilhelmshaven (Aquarium),Deutschland
10000114,Friesoythe (Tier- und Freizeitpark Thüle - vormals Tierpark Worberg),Deutschland
10000115,Werdum (Haustierpark),Deutschland
10000117,Langeroog (Nordsee-Aquarium im Haus der Insel - geschlossen 2013),Deutschland
10000118,Borkum (Nordseeaquarium),Deutschland
10000119,Oldenburg (Landesmuseum),Deutschland
10000120,Oldenburg (Botanischer Garten),Deutschland
10000121,Nordhorn (Tierpark),Deutschland
10000122,Sögel-Eisten (Tierpark - geschlossen 2010),Deutschland
10000123,Dötlingen-Ostrittrum (Wild- und Freizeitpark),Deutschland
10000124,Bassum (Tierpark Petermoor),Deutschland
10000125,Dinklage (Wildpark Burghotel),Deutschland
10000126,Ströhen (Tierpark),Deutschland
10000127,Rethem-Moor (Tierpark - geschlossen 2008),Deutschland
10000128,Hannover (Zoo),Deutschland
10000129,Hannover (Landesmuseum),Deutschland
10000130,Hannover (Sea Life),Deutschland
10000131,Springe (Wisentgehege und Falkenhof),Deutschland
10000132,Hildesheim (Wildgatter),Deutschland
10000133,Bad Nenndorf (Vogelpark am Krater - geschlossen 2015),Deutschland
10000134,Hannover (Tiergarten),Deutschland
10000135,Braunschweig (Arche Noah Zoo),Deutschland
10000136,Braunschweig (Staatliches Naturhistorisches Museum),Deutschland
10000137,Lehre-Essehof (Tierpark),Deutschland
10000138,Bad Sachsa (Harzfalkenhof),Deutschland
10000139,Wernigerode (Wildpark Christianental),Deutschland
10000140,Thale (Tierpark Hexentanzplatz),Deutschland
10000141,Westerhausen (Tierpark),Deutschland
10000142,Halberstadt (Tiergarten),Deutschland
10000143,Bad Harzburg-Bündheim (Wildgehege),Deutschland
10000144,Falkenstein/Harz OT Pansfelde (Falkenhof Burg Falkenstein - geschlossen),Deutschland
10000145,Stangerode (Wildpark),Deutschland
10000146,Magdeburg (Zoo),Deutschland
10000147,Oschersleben/Bode (Tiergehege Wiesenpark),Deutschland
10000148,Walbeck (Tierpark),Deutschland
10000149,Schönebeck/Elbe (Tiergarten Bierer Berg),Deutschland
10000150,Aschersleben (Zoo),Deutschland
10000151,Staßfurt (Tiergarten),Deutschland
10000152,Bernburg (Tiergarten),Deutschland
10000153,Köthen (Tierpark),Deutschland
10000154,Dessau-Roßlau (Tierpark),Deutschland
10000155,Oschersleben/Bode (Schauaquarium Börde-Zoo - geschlossen 2012),Deutschland
10000156,Calbe (Tiergehege Wartenberg),Deutschland
10000157,Meisdorf (Tiergehege),Deutschland
10000158,Leipzig (Zoo),Deutschland
