zoo_id,latitude,longitude
10000001,54.3301,10.1484
10000002,54.4031,9.97639
10000004,54.1539,10.96
10000005,54.4377,11.1953
10000006,54.0006,10.7793
10000007,53.9969,10.7818
10000008,53.8969,10.7377
10000009,53.622,10.7064
10000010,54.4731,9.8412
10000011,54.2621,10.706
10000012,54.4151,10.2358
10000013,53.9492,10.0288
10000014,54.0917,9.945
10000015,54.2153,9.90778
10000016,54.0272,10.2387
10000017,54.2464,9.25699
10000018,54.9075,8.30652
10000019,54.3176,8.95211
10000020,54.8922,8.32882
10000021,54.3007,8.65649
10000022,54.1283,8.85699
10000023,54.13,8.85936
10000024,54.0009,8.87666
10000025,54.1824,7.88935
10000026,53.8228,9.03519
10000027,53.5963,9.74674
10000028,53.7433,9.08261
10000029,53.4411,9.8902
10000030,53.595,9.94156
10000031,53.4158,10.5347
10000032,53.8909,11.4348
10000033,53.7205,13.0378
10000034,54.0799,12.0881
10000035,54.1461,12.5677
10000036,54.3131,13.087
10000037,54.3198,13.0507
10000038,54.5189,13.654
10000039,54.1104,13.0473
10000040,53.788,12.2237
10000041,54.0982,13.3705
10000042,54.0732,13.7762
10000043,53.97,14.1383
10000044,53.8515,13.6884
10000046,53.9046,11.0034
10000047,53.7337,14.0338
10000048,54.1637,13.3086
10000049,53.605,11.4431
10000050,53.0703,11.8594
10000051,53.5733,11.2055
10000052,53.7223,12.9423
10000053,53.515,12.6833
10000054,53.4745,12.4256
10000055,53.844,12.734
10000056,53.029,12.7623
10000057,53.3578,13.0687
10000058,53.4953,13.3101
10000059,53.7341,13.2795
10000060,53.3167,13.8603
10000061,52.8241,13.7763
10000062,53.0089,13.9913
10000063,52.7649,14.1644
10000064,52.3506,14.466
10000065,52.1322,14.6411
10000066,53.0715,14.2692
10000067,52.5083,13.3375
10000068,52.4984,13.5234
10000069,52.5202,13.4041
10000070,52.463,13.5198
10000071,52.4211,13.3743
10000072,52.5341,13.1815
10000073,52.5492,13.3306
10000074,52.5046,13.3304
10000076,52.3599,14.0676
10000077,52.293,14.0608
10000078,52.5027,14.1402
10000079,52.3958,13.0507
10000080,52.0171,13.5315
10000081,52.5413,13.2117
10000082,52.0835,13.1766
10000083,52.9208,13.5506
10000084,52.5427,12.9883
10000085,52.7474,13.1563
10000087,52.4587,14.4897
